osm_id,osm_type,name,lat,lon,phone,type,city,state,address,opening_hours,website,source
8985323158,node,Bharat Nagar Police station,28.680712,77.178135,,police,,,,,,overpass
1360312472,way,BharatNagar Urban Police Station,21.745583,72.160184,,police,,,,,,overpass
1286673858,way,Bharati Vidyapeeth Police Station,18.459091,73.857632,,police,,,,,,overpass
13146724912,node,Bharola Police Post,28.715917,77.170593,,police,,,,,,overpass
1252561007,way,Bhatiya Police Stattion,22.090910,69.271768,,police,,,,,,overpass
7939098214,node,Bhimavaram one town police station,16.541999,81.522707,,police,,,,,,overpass
7947237095,node,Bhimavaram two town police station,16.543379,81.519630,,police,,,,,,overpass
2471894120,node,Bhowanipore Police Station,22.526645,88.345994,,police,,,,,,overpass
359314010,way,Bidhannagar South Police Station,22.570161,88.413670,,police,,,,24/7,,overpass
4496534632,node,Bidkin Police Station,19.705604,75.302410,,police,,,,,,overpass
6048535212,node,Bihar Sainya Police - 6,26.116121,85.415974,,police,,,"Malighat, Muzaffarpur",,,overpass
1456707767,way,Bihar Swabhiman Special Armed Police Force Office,27.425929,83.913430,,police,,,,,,overpass
10807425688,node,Bilkhawthlir Police Outpost,24.334924,92.716801,03837-265387,police,,,,,,overpass
11240689020,node,Billiground Police Station,12.677558,92.886368,,police,,,,,,overpass
6387635522,node,Bishnupur Police Station,24.618998,93.761765,,police,,,,,,overpass
1361983655,way,Bishnupur Police Station,23.074975,87.317052,,police,,,,,,overpass
1164778962,node,Bistupur Police Station.,22.797989,86.184459,,police,,,,,,overpass
3455081256,node,Bizpore Police Station,22.941429,88.445456,,police,,,,,,overpass
7246587122,node,Bndm police station,22.230006,84.931043,,police,,,,,,overpass
312602302,way,Bodhgaya Police Station,24.699321,84.993457,+91 9431822208,police,,,,,,overpass
3686857438,node,Boiler Plant Police Station,10.771008,78.795665,,police,,,,,,overpass
6938944733,node,Bomdila Police Station,27.265351,92.422083,,police,,,,,,overpass
801863911,way,Bongaon police station,23.047207,88.830173,,police,,,,,,overpass
10817709178,node,Borapansury Police Station,22.709873,92.520172,9436714980,police,,,,,,overpass
557825116,way,Border Security Force,25.183826,92.031934,,police,,,,,,overpass
704830569,way,Border Security Force Camp,26.300596,88.983757,,police,,,,,,overpass
628282215,way,Border Security Force Head Quarters Jammu,32.751417,74.824591,,police,,,,,,overpass
10826806106,node,"Border control, foreigners can't pass",26.965474,88.935783,,police,,,,,,overpass
7040439285,node,"Border, no acces for foreigners",25.174625,90.521588,,police,,,,,,overpass
312763210,way,Borivali Police Station,19.229555,72.855933,,police,,,,,,overpass
12334028339,node,Borobekra police station,24.610824,93.091478,,police,,,,,,overpass
